Matrix Size,Execution Times,Confidence Interval Lower,Confidence Interval Upper
2,"0,0,0,0,0",0.0,0.0
52,"1,0,1,1,0",-0.08,1.28
102,"6,6,6,7,7",5.72,7.08
152,"21,20,20,20,20",19.645,20.755
202,"58,48,52,53,51",47.872,56.928
252,"99,93,91,92,92",89.415,97.385
302,"161,161,167,168,157",157.083,168.517
352,"266,255,261,274,264",255.353,272.647
402,"367,377,393,396,391",369.482,400.118
452,"537,548,534,525,533",525.064,545.736
502,"759,739,748,736,744",734.046,756.354
552,"1016,1002,989,1025,1028",991.692,1032.308
602,"1292,1258,1290,1310,1263",1255.658,1309.542
652,"1604,1669,1616,1666,1658",1604.943,1680.257
702,"2058,2073,2035,2018,2045",2019.616,2071.984
752,"2466,2503,2483,2476,2514",2463.933,2512.867
802,"3045,3098,3030,3109,3029",3014.486,3109.914
852,"3683,3627,3614,3647,3665",3612.585,3681.815
902,"4361,4323,4354,4312,4294",4293.687,4363.913
952,"5165,5164,5092,5040,5072",5037.047,5176.153
1002,"5810,6021,6008,5976,5837",5806.966,6053.834
1052,"7040,6991,6921,7021,6903",6899.936,7050.464
1102,"8180,8087,8118,8060,8105",8054.409,8165.591
1152,"9034,9178,9263,9162,9305",9058.462,9318.338
1202,"10981,11434,11134,10897,10748",10714.265,11363.335
