ThreadsX,ThreadsY,MatrixSize,MinValue,MaxValue,Time(mcs)
8,8,100,0,100,146
8,8,100,0,100,223
8,8,100,0,100,410
8,8,100,0,100,219
8,8,100,0,100,172
8,8,1100,0,100,2958
8,8,1100,0,100,4858
8,8,1100,0,100,2854
8,8,1100,0,100,2977
8,8,1100,0,100,2846
8,8,2100,0,100,26917
8,8,2100,0,100,28583
8,8,2100,0,100,29103
8,8,2100,0,100,28551
8,8,2100,0,100,25201
8,8,3100,0,100,94279
8,8,3100,0,100,88082
8,8,3100,0,100,89019
8,8,3100,0,100,90262
8,8,3100,0,100,89071
8,8,4100,0,100,208643
8,8,4100,0,100,207754
8,8,4100,0,100,203793
8,8,4100,0,100,225336
8,8,4100,0,100,221971
8,8,5100,0,100,415213
8,8,5100,0,100,420267
8,8,5100,0,100,428985
8,8,5100,0,100,424528
8,8,5100,0,100,423088
16,16,100,0,100,135
16,16,100,0,100,161
16,16,100,0,100,158
16,16,100,0,100,152
16,16,100,0,100,840
16,16,1100,0,100,6649
16,16,1100,0,100,6261
16,16,1100,0,100,2690
16,16,1100,0,100,2533
16,16,1100,0,100,2855
16,16,2100,0,100,18437
16,16,2100,0,100,26893
16,16,2100,0,100,22723
16,16,2100,0,100,22217
16,16,2100,0,100,26993
16,16,3100,0,100,77715
16,16,3100,0,100,88769
16,16,3100,0,100,76814
16,16,3100,0,100,67921
16,16,3100,0,100,73676
16,16,4100,0,100,169928
16,16,4100,0,100,171673
16,16,4100,0,100,167293
16,16,4100,0,100,166619
16,16,4100,0,100,174588
16,16,5100,0,100,294515
16,16,5100,0,100,300989
16,16,5100,0,100,315517
16,16,5100,0,100,286743
16,16,5100,0,100,290226
32,32,100,0,100,1905
32,32,100,0,100,140
32,32,100,0,100,1615
32,32,100,0,100,186
32,32,100,0,100,171
32,32,1100,0,100,5336
32,32,1100,0,100,4529
32,32,1100,0,100,3400
32,32,1100,0,100,4052
32,32,1100,0,100,7096
32,32,2100,0,100,23323
32,32,2100,0,100,20034
32,32,2100,0,100,27759
32,32,2100,0,100,19263
32,32,2100,0,100,25777
32,32,3100,0,100,74877
32,32,3100,0,100,76242
32,32,3100,0,100,81741
32,32,3100,0,100,75120
32,32,3100,0,100,75289
32,32,4100,0,100,183314
32,32,4100,0,100,186772
32,32,4100,0,100,173408
32,32,4100,0,100,182142
32,32,4100,0,100,174430
32,32,5100,0,100,337632
32,32,5100,0,100,323620
32,32,5100,0,100,320941
32,32,5100,0,100,315172
32,32,5100,0,100,336837
